Id,SalePrice
1461,123852.19272854514
1462,133499.49906295273
1463,185459.29887742532
1464,203363.7895429512
1465,187071.43506494243
1466,186985.0328869678
1467,195998.43941240865
1468,179475.2810757121
1469,200063.74167635525
1470,122976.76346125506
1471,204361.05109370212
1472,119226.58562138534
1473,112586.58845282723
1474,162290.69274753783
1475,113293.04054107054
1476,293120.274839794
1477,240945.38246816935
1478,274962.394670553
1479,258548.0172125439
1480,379188.8684082279
1481,282400.95698164584
1482,209786.12531824395
1483,179800.13764568177
1484,174294.33575271777
1485,198709.02668009687
1486,206211.18313295345
1487,279858.41719067545
1488,248955.4990350361
1489,186008.48851720933
1490,225919.5189275801
1491,204935.25175072963
1492,90824.40046683924
1493,213758.95797093087
1494,275202.8022706071
1495,268967.5348858996
1496,217322.41865362952
1497,172257.48305259392
1498,162392.08033644184
1499,167818.005796005
1500,164110.15949202032
1501,198160.0743790998
1502,154210.30862113743
1503,264865.3919360096
1504,238586.76719975146
1505,225566.10362622153
1506,201094.75670931966
1507,246215.15043717687
1508,203641.7845958086
1509,159092.3739435791
1510,154163.09928137137
1511,146932.1020010294
1512,188042.0755762163
1513,159509.6498962364
1514,160818.66279437256
1515,218480.8668311512
1516,163817.1266972733
1517,166388.8975782782
1518,135261.70314698765
1519,237117.10790905845
1520,127730.18021091796
1521,123101.45974261142
1522,200600.0307342017
1523,89824.78320524254
1524,99625.19288751435
1525,103819.95244635503
1526,97973.82347574714
1527,107247.7759057395
1528,147141.41688939932
1529,134743.17180244572
1530,216551.16631007686
1531,145528.85105795416
1532,100705.63541374104
1533,140440.18813529424
1534,123044.11381824923
1535,151399.3678502266
1536,105043.29905131712
1537,74686.28472971033
1538,166655.62227846353
1539,212704.29089097615
1540,106176.42357858617
1541,154517.87852365908
1542,141591.1561648372
1543,181479.52181013805
1544,76842.39810696183
1545,112343.98547534531
1546,143486.5235384807
1547,144179.65330857842
1548,128407.4033848366
1549,127487.44296177957
1550,137026.80300957186
1551,124046.76997884475
1552,137988.90360440058
1553,146332.30063910605
1554,109261.9201619215
1555,174604.19616422633
1556,83377.98417469993
1557,92082.90998857666
1558,91129.32895996128
1559,80426.41602069918
1560,125345.26551434939
1561,128904.62589867903
1562,126601.79180173684
1563,116469.75461216932
1564,169482.27770418904
1565,154122.4788894763
1566,233543.27986904047
1567,78045.80589238652
1568,228240.0124830024
1569,121818.43643346007
1570,147632.9883804809
1571,120768.62608471166
1572,143271.16847035152
1573,232365.64453672073
1574,134628.00944588054
1575,231206.7604992214
1576,247800.33714439225
1577,193500.89515084657
1578,149119.65623237417
1579,144470.33136850325
1580,206775.42812354697
1581,146347.04320163254
1582,129562.52217511227
1583,297165.7175805543
1584,228938.2366875954
1585,152916.24757500732
1586,66015.73643298281
1587,96140.08942235998
1588,142230.27165694622
1589,105906.73316424881
1590,139909.29523470398
1591,72497.22889221983
1592,142515.6216152638
1593,132743.50182710268
1594,118077.83152180134
1595,112129.24800806047
1596,210671.00213656336
1597,177136.3807125836
1598,197470.21638291355
1599,184032.80958068903
1600,183811.90213276606
1601,41489.5466648438
1602,124073.78778360397
1603,65529.20147101252
1604,239578.9823069238
1605,252382.99063007883
1606,176436.8828918685
1607,188854.19073848863
1608,225713.26390199305
1609,189270.51987681183
1610,162181.2129272583
1611,158993.6668508682
1612,177685.11561042554
1613,188969.64741750556
1614,126865.8112274035
1615,74062.6868616171
1616,62124.18470377404
1617,84017.4609457076
1618,118311.51863198931
1619,146905.0709787902
1620,197752.5546483238
1621,144105.14681477993
1622,138062.66856999212
1623,249238.37781713455
1624,217564.61468542548
1625,116867.62420806673
1626,202194.85506269807
1627,199890.85412001098
1628,265296.60304180864
1629,190831.13098123364
1630,287860.98850593437
1631,204798.5127123089
1632,218785.23390603374
1633,187799.3150627722
1634,199782.8171922154
1635,190609.11146169563
1636,172529.23784233394
1637,202310.77969279507
1638,215605.67630332184
1639,202329.9998382985
1640,248396.19900681602
1641,199364.1454763972
1642,223470.46211580117
1643,221820.63002060796
1644,226263.79423908534
1645,231863.6499984391
1646,181282.00711894382
1647,176310.04205874333
1648,137102.2770979929
1649,137624.89399948926
1650,129677.21032111948
1651,128011.49333471675
1652,122954.44099789171
1653,121188.07951418517
1654,163382.91115081336
1655,148617.17397224143
1656,155998.9038819481
1657,161527.56211836622
1658,158926.0629122562
1659,123409.62048856125
1660,151340.48062117866
1661,361550.88029061235
1662,302686.8852842581
1663,306766.93376543553
1664,381094.8562172914
1665,274871.5882165783
1666,288818.9114755082
1667,295883.10439572105
1668,292193.81606321374
1669,267738.96748920716
1670,291439.3606312742
1671,258267.01558713027
1672,351350.7475195775
1673,278014.0659757288
1674,253004.03122836817
1675,196540.1320982381
1676,200211.56352263284
1677,216490.61063764218
1678,363313.8655053758
1679,308663.75013943063
1680,267699.8010849941
1681,235496.63979785293
1682,277458.5455064786
